timestamp,steering_angle_rad,image_filename
20250622_101246_205412,0.0,image_JP_20250622_101246_205412.png
20250622_101246_296676,0.0,image_JP_20250622_101246_296676.png
20250622_101246_427690,0.0,image_JP_20250622_101246_427690.png
20250622_101246_507276,0.0,image_JP_20250622_101246_507276.png
20250622_101246_589452,0.0,image_JP_20250622_101246_589452.png
20250622_101246_670975,0.0,image_JP_20250622_101246_670975.png
20250622_101246_789675,0.0,image_JP_20250622_101246_789675.png
20250622_101246_901677,0.0,image_JP_20250622_101246_901677.png
20250622_101247_038457,0.0,image_JP_20250622_101247_038457.png
20250622_101247_139664,0.0,image_JP_20250622_101247_139664.png
20250622_101247_250002,0.0,image_JP_20250622_101247_250002.png
20250622_101247_413672,0.0,image_JP_20250622_101247_413672.png
20250622_101247_512890,0.0,image_JP_20250622_101247_512890.png
20250622_101247_641706,0.0,image_JP_20250622_101247_641706.png
20250622_101247_735369,0.0,image_JP_20250622_101247_735369.png
20250622_101247_936348,0.0,image_JP_20250622_101247_936348.png
20250622_101248_032393,0.0,image_JP_20250622_101248_032393.png
20250622_101248_113941,0.0,image_JP_20250622_101248_113941.png
20250622_101248_187360,0.0,image_JP_20250622_101248_187360.png
20250622_101248_300504,0.0,image_JP_20250622_101248_300504.png
20250622_101248_416286,0.0,image_JP_20250622_101248_416286.png
20250622_101248_590071,0.0,image_JP_20250622_101248_590071.png
20250622_101248_681243,0.0,image_JP_20250622_101248_681243.png
20250622_101248_781459,0.0,image_JP_20250622_101248_781459.png
20250622_101248_916961,0.0,image_JP_20250622_101248_916961.png
20250622_101249_017233,0.0,image_JP_20250622_101249_017233.png
20250622_101249_133293,0.0,image_JP_20250622_101249_133293.png
20250622_101249_259476,0.0,image_JP_20250622_101249_259476.png
20250622_101249_360357,0.0,image_JP_20250622_101249_360357.png
20250622_101249_512341,0.0,image_JP_20250622_101249_512341.png
20250622_101249_618048,0.0,image_JP_20250622_101249_618048.png
20250622_101249_723864,0.0,image_JP_20250622_101249_723864.png
20250622_101249_861579,0.0,image_JP_20250622_101249_861579.png
20250622_101249_959724,0.0,image_JP_20250622_101249_959724.png
20250622_101250_086259,0.0,image_JP_20250622_101250_086259.png
20250622_101250_187611,0.0,image_JP_20250622_101250_187611.png
20250622_101250_294920,0.0,image_JP_20250622_101250_294920.png
20250622_101250_423592,0.0,image_JP_20250622_101250_423592.png
20250622_101250_553335,0.0,image_JP_20250622_101250_553335.png
20250622_101250_653218,0.0,image_JP_20250622_101250_653218.png
20250622_101250_777354,0.0,image_JP_20250622_101250_777354.png
20250622_101250_882253,0.0,image_JP_20250622_101250_882253.png
20250622_101251_025542,0.0,image_JP_20250622_101251_025542.png
20250622_101251_136533,0.0,image_JP_20250622_101251_136533.png
20250622_101251_237484,0.0,image_JP_20250622_101251_237484.png
20250622_101251_379392,0.0,image_JP_20250622_101251_379392.png
20250622_101251_479420,0.0,image_JP_20250622_101251_479420.png
20250622_101251_596072,-0.06,image_JP_20250622_101251_596072.png
20250622_101251_722668,-0.07,image_JP_20250622_101251_722668.png
20250622_101251_825064,-0.07,image_JP_20250622_101251_825064.png
20250622_101251_949907,-0.07,image_JP_20250622_101251_949907.png
